age,income,employment_length,debt_to_income,credit_history_length,number_of_debts,number_of_delinquent_debts,homeowner,default_flag
27,78326.81981338558,5.020714297922753,0.323546422620349,0.0,2,1,0,1
30,56245.96788251926,11.494518957508827,0.1235028790787558,12.65702987490524,3,0,1,0
37,38336.231066679,9.33605327572528,0.0256644728648826,12.387880556985037,2,0,0,0
25,51170.48389374181,7.65359439835434,0.2126744866150815,12.85223308117687,1,0,1,0
47,67514.93763439317,1.1823206813598368,0.1035092744590593,13.343275805791796,3,0,1,0
48,53954.61215834947,9.774090590891968,0.1286468863785701,13.117601776891629,1,1,1,0
31,65178.608564513794,3.665373803277828,0.4097011911213614,10.294503966599194,1,0,0,0
49,56355.16351642922,3.887963113639313,0.2946293246829594,11.717879425594422,2,0,1,0
34,41070.18408023144,13.707272891606356,0.0239280686751353,11.987614159468382,1,0,1,0
31,45254.76647216078,7.223135058910007,0.2178587206453763,10.23448018338058,4,0,1,0
52,58610.89724297961,15.5141354262479,0.3274118092607574,2.3018993689383134,0,0,1,0
43,15443.716559004388,4.532929655191021,0.1802405585327466,3.383730059814104,5,2,0,1
33,77247.81151835376,5.46525654870187,0.224275773589377,11.04348152041836,2,0,0,0
28,55321.84029110211,6.593785468316647,0.3129633536635086,10.62052885836247,2,0,1,0
34,52574.852586592126,5.052414337517446,0.4439334278719267,12.85195827600538,0,0,1,0
37,56637.207079016654,5.583583028512066,0.160112224379155,13.478384341785793,2,1,1,0
32,44199.65806369584,4.908015735196737,0.0953333941368311,5.992790756733771,2,1,0,0
37,56972.74192848515,6.040617364437203,0.0806372786892471,2.3170949165660346,2,1,1,0
41,34033.481206621946,7.326779540876024,0.3287181046706091,17.97967391710588,1,0,1,0
54,48865.642042856736,0.900873432712152,0.3536317573818047,12.209527270179182,1,0,1,0
37,62865.733437640505,0.2082177763974,0.188566890094066,10.931792913566458,2,0,1,0
18,80439.26310120006,7.855492382510695,0.1743946209604748,6.09543267119604,3,0,0,0
34,37974.27020320344,7.057915765456369,0.172412604418346,6.310834011412545,3,0,1,0
36,47177.76691694461,7.113386060549807,0.3210252019913405,9.74070215660806,3,0,1,0
43,96682.6912872478,8.840128008797658,0.2871576502298157,6.194432655459556,4,0,1,0
53,74741.41341235343,1.591650416735062,0.2271452794276608,8.08020020394142,4,0,1,0
40,19691.922574411237,4.828589838489856,0.8348101545458546,0.0,1,0,0,1
47,71002.5696243576,2.4895402220372045,0.1686738562255962,13.695749802006908,1,0,0,0
40,70551.36232224066,11.798854295629226,0.0697662760498804,6.8499954716843,5,0,1,0
38,96962.18208211105,5.504958677851054,0.2951564925058104,12.837428642844902,2,0,1,0
39,38187.5639309261,1.7595848836426364,0.3098245200925813,2.0557860317103174,1,1,0,1
37,63679.65821132879,1.9458315473190044,0.4038155687272037,2.890854914476509,6,1,0,1
19,40684.21384024132,0.0569527928446165,0.0,3.947222945413556,3,4,0,1
36,62511.17044947156,2.3086893252095058,0.2190895097616227,7.866479032607806,0,0,0,0
34,73484.96616849532,9.38921404735924,0.2037780599797499,2.2778628858972505,2,0,1,0
19,29789.078992610077,14.585293389836822,0.1108640319247937,11.646346627040748,2,0,1,0
40,71335.20762235316,5.136519244708436,0.037292828475454,7.659290337377538,0,0,0,0
27,69889.95063560642,4.738684081281226,0.2979832257061364,16.087728837083937,1,0,1,0
45,41875.637476146105,6.827385369595071,0.196755877112067,10.150539119280204,2,0,1,0
18,46235.784713697656,0.0,0.2076278661315075,3.65651957127052,6,2,0,1
43,22159.3285502866,2.6207071908106663,0.4377224292510768,7.242647459777956,0,0,0,0
44,33465.40700680972,2.88835259313726,0.2563339407943966,1.835176407447794,3,1,0,1
46,68600.2704762271,0.0,0.2343844227778801,5.717649870817352,0,0,1,0
40,25539.07941417537,0.0,0.226759202198427,5.078919619121,5,0,0,0
24,70403.52843200543,9.387769850799309,0.3378858373295111,8.522170177647832,5,0,0,0
34,47408.11536272404,4.4280672014799,0.1586222271981482,7.2128353071242675,1,0,0,0
44,58362.51645618322,0.0,0.2691514706432169,13.900029804958184,3,0,1,0
40,81713.43818367276,2.979452963969406,0.3309439797445958,19.97767719626256,0,0,1,0
56,42516.01459971701,12.356768378655088,0.2129961871569115,14.028576423883411,3,1,0,0
19,58720.37156923724,2.965271901664058,0.8143556042053588,2.3400781089704576,4,1,0,1
18,66381.17482751494,6.717953651277775,0.6985806598434161,5.4528066483751765,5,2,0,1
27,45621.70081636063,0.0,0.7345975310671667,3.993376942328241,4,2,0,1
33,75593.9236435899,11.666079188107968,0.1291089275009411,16.54924205830209,3,0,1,0
31,40594.57348183522,9.259347241590127,0.2361001946177101,9.065957285534903,2,0,1,0
43,51206.359821631006,6.479794504233417,0.2520046494193894,15.721136451469883,1,0,0,0
36,28930.87732673469,7.493701557717444,0.2178010525925907,1.0516327162359147,3,1,1,0
25,62518.81810424772,3.716454854530191,0.3553988971476279,0.0,3,3,0,1
47,36068.18940615561,7.238708767586533,0.2277540765863149,0.2461832041133309,7,4,0,1
41,40439.53952954864,0.0,0.069754391600795,10.378151853387434,2,0,0,0
48,45706.71766318015,6.291673581901208,0.2838223956389937,10.61689381226652,2,0,1,0
45,54736.77455880347,3.2953202367855727,0.1243718248937556,5.108160621722832,2,1,0,0
40,69654.25521112276,8.285269184126818,0.2528145469704004,7.325011633069749,1,0,0,0
27,88304.09053403647,7.039476596851619,0.3117229997733914,9.884900079248988,2,0,1,0
27,77431.11932576283,18.98175153686046,0.3089321356628154,10.765411276115112,1,1,1,0
53,43105.94002594035,1.6422796393661638,0.1872409319371136,12.609087110095224,3,0,1,0
35,78786.39780464911,16.332946716877714,0.1742498049468085,14.209115835198942,3,0,0,0
33,46810.09126323144,7.0322712541620565,0.3150085261737526,5.242550967039338,1,0,1,0
38,70272.18588830443,8.590138569719095,0.1565802382056169,15.557129784220232,3,0,1,0
32,28044.81086962922,0.8373237363936603,0.4967053315833801,0.9185012572442556,4,2,1,1
33,69370.47205637672,11.529470980522763,0.1900274652314234,11.000117028332957,2,0,0,0
46,44188.48781334082,1.4625928860934172,0.7603416275215945,4.369018015409889,3,2,0,1
33,25381.22708883323,0.0,0.6066742892523933,2.935707780279973,5,2,0,1
47,88030.00693104316,0.3388910637984423,0.3418396868514863,8.451154107918612,1,0,1,0
34,24440.578313531973,0.0,0.4408798125426545,5.709052824816885,3,4,0,1
29,10919.895824306586,4.748636155878764,0.3350746793601799,5.210373601765743,5,2,0,1
55,91722.28262842624,7.806914332256427,0.0788781801699936,5.439899105826544,1,0,1,0
56,76729.68275929883,9.613353153710058,0.0454196323674383,6.338638451906992,2,0,0,0
18,44573.62481740687,4.128943021416263,0.2037139293627389,0.0,8,0,1,1
18,38775.61001931124,0.1073585042764726,0.3659880451556402,3.5957630282436632,3,2,0,1
26,65891.53601080639,7.305278245673327,0.1181609745273012,7.435950771913343,3,0,1,0
34,32038.03970636249,13.382876576221296,0.2774890631151768,7.811086761974147,3,0,1,0
58,74290.99522927012,0.0,0.4886548061715323,10.845476360996717,3,1,1,0
40,61508.18257849332,5.748027795922752,0.1013978975828929,15.04857383771936,4,1,1,0
54,49071.84761072654,16.888224094097147,0.126381328991138,9.587057684459388,2,1,1,0
28,34209.9986055204,10.303944241307004,0.2248473217997092,15.260906313031814,3,0,1,0
30,58821.47290953897,8.291221803296905,0.5013793282717997,5.863215509226594,6,0,1,0
42,82135.49037248657,5.047796148983625,0.1586597101709889,3.9835643516375008,0,0,1,0
29,40229.41984268199,5.803911175890937,0.3357184246974272,10.97597657055377,1,0,0,0
43,74993.96042889738,4.956858562669675,0.0858633026718134,3.5496095394511133,1,0,1,0
47,97816.80840078332,11.22128090405396,0.4150388392817886,8.382292299707926,0,1,0,0
39,48328.789042078526,14.61881031417645,0.2398643471796651,13.835515154085709,3,1,1,0
39,86012.50802111917,9.42419847677725,0.3030117850090463,15.877619856779596,3,0,0,0
62,65376.098688784616,6.8594765777424165,0.2102803285019929,4.472987375195581,1,1,0,0
37,56799.22652841311,13.636405617160348,0.1160037129627801,11.24345738759043,3,0,1,0
29,38973.41963953442,9.789272005523276,0.0033536937694747,8.166221171749942,1,0,1,0
26,54904.400709595066,0.0,0.724641282390931,2.7742789564426547,2,2,0,1
41,47274.86330027927,18.35627727077431,0.0685054285357106,8.507521369942888,5,0,0,0
36,85681.60553084574,0.5566365810907143,0.0,11.26549598099786,2,0,1,0
40,87395.62203924757,0.0,0.2312958125436249,11.79811960671973,4,1,1,0
47,54644.6896255031,14.20482799369266,0.2133154528171615,7.372143242732367,3,0,0,0
30,27263.962713784167,9.53601972948936,0.345931081335376,10.674316901034624,3,0,1,0
59,51282.852900371865,9.599439839272058,0.0509688977845842,10.685278063840824,3,0,1,0
39,50870.087809918085,10.541843383609756,0.0450003373981328,14.72065627890117,4,0,1,0
29,50971.092193501325,0.0550519876111224,0.2365830557065877,7.392767358037391,2,0,0,0
34,33387.01833958748,15.38376864924464,0.1966397202738794,15.301786466877898,2,1,1,0
41,63268.954932349545,18.98175153686046,0.2143417552952695,9.612419670293129,0,0,0,0
18,53221.829086483325,2.7980992457804463,0.1073506157123978,7.493903840511312,1,0,0,0
43,47343.84801555636,13.407032721962416,0.3612270121633628,3.842823442843737,2,0,0,0
44,78308.05940969873,4.238827317362787,0.4195012029127749,9.48346491666751,3,0,1,0
32,65902.81958674833,4.00739803907986,0.0,10.563491099472673,3,0,1,0
31,39465.79016429468,17.2093900104562,0.2155570356800246,4.330741315197382,1,0,1,0
47,58127.81953267267,14.953629645707156,0.2221025231151047,2.258846671045412,3,0,1,0
43,37406.65081378927,13.214327047798044,0.0831791263794783,10.595291443296553,4,0,1,0
48,44999.54636868566,8.65556098089217,0.2418826685704509,8.676958518186813,1,0,0,0
23,82352.64883207914,0.0,0.1974211492513237,8.630249917148978,2,0,0,0
46,66661.16870134095,5.960505377281759,0.0658953485414811,11.81183787695771,6,0,1,0
51,56038.5273970128,4.514842653175692,0.190738117481286,4.025310870246996,3,1,0,0
44,38538.17343274769,4.09869637260601,0.23687963079583,10.050041734042695,1,0,0,0
57,59722.757309914574,5.499154513130481,0.2084216588946442,14.239109993866451,3,0,0,0
