current_balance,average_monthly_payment,payment_ratio,number_of_late_payments,months_since_last_late_payment,number_of_credit_inquiries,current_limit,average_utilization,default_flag
2508.6667803303044,1426.5075941217488,0.6491350722907187,1,22,2,6310.407487068205,0.2207638828471576,0
2652.204207744233,1080.2810591487096,0.9440523047105218,0,20,3,12558.209242110715,0.274894090571239,0
8557.384988807098,733.3335600380444,0.3380021696944777,2,7,2,6154.63571157121,0.4141404686487641,1
2064.881667154904,1326.7394909758705,0.3481227484191628,1,22,1,9841.36408213042,0.2186023334757507,0
6499.055330908802,1174.8076655141926,1.0,1,18,1,13186.57812513481,0.4230670367601056,0
10233.751610225749,1106.1900430117448,0.8966856461294923,1,10,1,9933.305426817657,0.4529873528626102,0
1830.50878812422,856.8492985529064,0.5839164528343259,0,20,1,13219.938200521216,0.296213693386112,0
5451.807478533901,762.5216477393112,0.7433968944591176,0,22,0,16779.758381603664,0.1632399003646018,0
7680.411253447485,175.6952806609463,0.4862198967507329,4,1,6,16192.478745613736,1.0,1
2147.9279197542346,893.1614147058922,0.7331296347372099,1,19,2,11621.182439654036,0.4108664299575441,0
0.0,1643.4736430582095,1.0,0,24,2,9940.799003499858,0.6628513159801492,0
3447.166102891486,100.0,0.7393827845775972,4,24,0,9372.64422209907,0.0656433905683917,0
5162.154988538003,526.2885524907706,0.9891334895769824,2,20,1,6567.183899801914,0.0829142044590538,0
10935.706560741284,296.60277276168824,0.4916902119535381,1,3,3,4439.6583342349095,0.36155658153003,1
5155.837657421898,1568.2277871624226,0.666220701654157,0,23,4,9570.91119560153,0.0,0
791.4015283764356,381.5233707785774,0.6898598236065487,1,12,1,14848.329968446382,0.8202523786804137,0
6517.896660367596,1149.599883044448,1.0,1,19,1,10582.09430130008,0.4170189705337245,0
3656.115984650075,430.3569203948661,0.6980141509268516,1,18,0,6071.884148190498,0.4989034927678477,0
6235.858997185429,573.3909409290602,0.8565267712519785,1,17,0,8431.803939334337,0.5684836848243424,0
3062.1074626263944,100.0,0.7059909629690263,0,25,0,4158.260030374466,0.556821411123128,0
4936.265662171274,913.0925747653146,0.853707186048915,0,28,0,14557.36459216067,0.0,0
6270.797196780383,100.0,0.8083836080477251,0,13,1,9050.25336152032,0.2245226613291895,0
5719.618256854175,932.4776990686128,0.9374912795756056,0,18,0,10314.090496985224,0.1864448626910898,0
1195.589585074062,100.0,0.5332066738024217,0,17,3,6343.320699380551,0.247905362415379,0
3084.242524564909,1245.9072005439814,0.9164625771048964,0,28,5,8348.695497080675,0.2330793963084065,0
7494.496600794986,1248.3688783878592,0.5189672280120434,1,18,1,5996.944625096542,0.1840248362879931,0
10044.477372254049,1014.4244473965924,0.7160460575266375,0,17,0,14214.779008835856,0.2550123893103442,0
0.0,615.7822415482535,0.7894776253287249,1,25,0,12232.651619665938,0.298904983513506,0
3702.3254365411376,942.5245342540788,0.7951657147283583,2,26,0,11057.185099425353,0.387723745983998,0
10389.08246878089,1052.2570180379105,0.8518768666885604,0,28,2,1123.4344517909883,0.6815349712680397,0
9504.00095586646,2117.7214355900037,0.8262224392356868,1,18,1,9357.03421822303,0.2989611913090008,0
10543.135664559948,884.8578168514717,0.4385227207532314,2,3,1,7481.599190672056,0.8131406034836791,1
4646.99809342144,1393.6368474081112,0.9446191774306965,2,19,2,9448.69658069184,0.2802116224213628,0
5764.193412140628,1264.1349694575526,0.5531155655867328,1,20,1,8895.013795707906,0.4157190186358367,0
6857.462783015593,1336.5668461164842,0.6563933835655452,0,26,0,11370.759421801256,0.4209295376314432,0
7895.470807851715,1121.6429888516473,0.600346425851662,0,4,7,7507.775988993409,0.2163394746935797,1
9911.29547521182,497.65424711241286,0.2911811849465655,1,3,3,7974.804119796556,1.0,1
4134.024083239585,1066.2988360130505,0.6538330200604658,0,24,2,19233.447911778945,0.5758832396041286,0
4830.234533300312,697.004976957544,0.5866693262162452,0,18,2,10802.714755486224,0.0561346716684658,0
4990.8466395306805,177.67285605416862,0.3715334380851082,2,3,2,14442.877552277523,0.8936273697220735,1
12575.685926884771,698.7100918897797,0.6322734298190793,4,3,4,13609.601445692868,0.7742362374034784,1
4907.640492759754,789.533217708117,0.7829196497863464,0,16,1,15323.601307745035,0.081144451880617,0
6294.894888912791,1064.723321273722,0.599062144225017,0,14,0,14275.113087733174,0.2206858949285379,0
5568.439463663242,943.0017235801868,0.8075290130194299,1,16,2,6859.91073605961,0.1020463689629061,0
6338.832020145948,465.1586983032577,0.2045317916501702,3,4,7,3693.2259527268616,0.6753175137383441,1
11374.868022668796,357.3127161350124,0.1707433711345289,3,1,4,6151.371753159461,0.6045945109185773,1
5716.367477079541,1290.499769980846,0.7781367485527919,0,25,1,2478.590077266307,0.1842017968827323,0
286.5429466463511,1725.3997331543696,0.962997490959253,1,17,0,1000.0,0.3847363024383055,0
2733.5033505981523,664.3097781775239,0.4474586019916792,0,20,3,7777.84057866828,0.0,0
7848.662406323971,784.5018998900935,0.4445472402620707,0,9,1,17904.489596682128,0.1377896083934937,0
11589.938164936862,729.8572360521584,0.6510670195170173,0,14,2,9796.782349106516,0.3032422663706564,0
1648.4406148789926,1232.1602804133329,1.0,2,21,0,11228.155067116595,0.0126742400388606,0
3196.6203419934595,974.1434443459772,0.7736565834458508,0,24,0,11427.730412468847,0.2516925575930461,0
9187.051432369868,1287.6783622600628,1.0,0,21,0,4837.719807008092,0.16885658873793,0
5872.842093018457,1655.0974280271505,0.956079118917037,0,16,0,7847.490440103607,0.5048142222651617,0
418.4964302310573,1012.2398349259554,0.9031812460628056,0,17,0,10679.414739209196,0.3594700125775356,0
9600.301103888976,574.9011270926721,0.984237807564912,0,15,0,6633.124055631095,0.2590866651254691,0
6426.096832076031,1464.1943395680855,0.8407384556952919,2,12,0,14858.976440463455,0.278155308376018,0
181.2296347941256,1717.532706001056,0.92268865333003,0,17,1,6830.254550931677,0.433003607842606,0
6956.918454830691,515.9935177053596,0.9006824424399825,0,19,1,13893.972819114131,0.1764120850060493,0
8864.227174557132,1890.6998583004288,0.5321015674059928,1,16,0,9245.939221443736,0.2311864159318159,0
5140.9417812942265,1080.1344287087884,0.7479138827009775,0,23,1,7434.287288474819,0.4202457806018642,0
3458.39924798992,1166.3802393185051,0.7673185538537376,0,25,0,3854.557828990824,0.0,0
6532.376265582784,388.1275766718654,0.8956600784509379,1,16,1,21418.7300915692,0.3386576559388592,0
8364.550672417627,417.3356508355224,0.2398816283127312,5,2,4,8363.63449392016,0.2826849483123671,1
9242.56186499327,861.5204528864172,0.8769701129364404,2,17,0,9304.835397659715,0.3650795758238248,0
4597.948499981247,1422.6366485210478,0.4002788866888986,0,17,1,7297.177896988667,0.2619293201413693,0
851.6008071069919,1400.5908819940914,0.8871366223849007,0,14,0,4142.346743075243,0.2239880642936002,0
2497.0308635252536,932.1993800495586,0.4098465345256997,0,22,1,9756.211299343004,0.26362595062887,0
10002.882989662598,543.0331781634208,0.2406916308009404,1,3,4,7425.521390299235,0.5783335943034603,1
5102.082233216696,1245.8698203781105,0.7851300970384156,2,18,1,11508.319329835624,0.0889430432113665,0
9484.814682359707,1184.1760019204855,0.7002629952127242,0,22,0,11574.297946111548,0.2435916402395513,0
8108.262953138768,1253.1933736164474,0.7597627659698166,0,15,2,18472.46437156337,0.0453275726959921,0
6499.592371221114,1337.7454236327349,0.6703287259354999,0,21,1,11804.292979894906,0.1167115865864225,0
1555.210133742145,651.5292699309516,0.4877914848826444,0,21,0,12087.384400452189,0.5595615353277135,0
3715.045226606733,1066.3423095665385,1.0,0,20,2,17477.434812398413,0.4175309873757523,0
0.0,1112.6283409918,0.8606307656752548,0,17,2,10135.734155520604,0.5140078359954652,0
1583.5006466576924,1417.6667176824176,0.3315506259185404,0,21,0,9239.870736216835,0.3008177309016737,0
4400.331742092563,353.7651303092044,0.0711236454618583,3,1,2,9455.901982137942,0.7809804768822834,1
8263.471403305508,490.3328959105796,0.4794529408674328,2,5,4,6929.399843435517,0.6920644037649221,1
7699.0687550814255,154.46151546949665,0.1161603119344186,5,3,7,8585.19523838529,0.7531432324996257,1
829.3342245396125,1147.4153446048472,0.6377989521072225,0,22,1,10864.42205868291,0.566167887996574,0
7167.944693318897,365.2675089646029,0.4460362311871592,2,3,0,7779.281544616074,0.7286745079283932,1
315.5203326744222,431.81241664807135,1.0,0,26,0,6029.2493203094855,0.1132533586752945,0
1043.094505092468,205.88645064608988,0.6766750115476007,2,20,0,12268.141859638874,0.1422741942872404,0
8258.065118922728,693.8513862630184,0.1386449699590105,1,5,3,5261.397626257374,0.7046626100342213,1
1282.2248154395825,2058.662072185477,1.0,1,24,0,10123.250008649233,0.2684581081385406,0
3728.72095393189,1215.4230025848733,0.5284735110102186,0,21,1,4744.128062882734,0.2379386441316919,0
3947.4517097705766,583.9647661336016,1.0,0,22,0,12917.201726986796,0.1764751980215255,0
1949.950614270508,919.774978367183,0.8914801485583489,0,16,0,12437.925578704144,0.3007686245258432,0
6084.186816525242,639.7724646624706,0.9925227149423266,0,23,1,8633.60984076252,0.3841426975851953,0
2493.958840220728,1297.4271866986223,0.7658814670419862,0,23,1,8480.241604473973,0.0152053882370528,0
2186.524880254632,1331.7989342803814,0.7751845547793921,0,15,3,10453.516145782192,0.2055625577776237,0
10283.12792302964,267.7599072242824,0.00879152623932259,2,1,5,9464.136014068505,0.2610157949946526,1
6070.918277800778,247.9257345260105,0.7575911375266018,1,14,2,9410.523680160291,0.5332853416572884,0
2131.8243449498163,422.2519789356179,0.9391939886562656,0,29,2,14370.503677276112,0.1767255587336249,0
4211.327512375197,1676.3795153073816,0.7697167864027147,0,28,0,13814.273443695143,0.8198151311159023,0
10792.952436280946,807.6162170694804,0.4198706872515038,2,1,4,2275.6585849225467,0.7920045650099418,1
