days_past_due,outstanding_amount,number_of_contacts,previous_late_payments,promised_payment_amount,broken_promises,months_on_book,last_payment_amount,further_delinquency
103,4558.704943416739,1,0,551.84916021861,0,27,317.2412732320798,0
93,100.0,5,2,822.1643647364576,1,52,738.4606551879983,1
15,6060.046779607252,4,3,1292.7461149778464,0,38,460.2306627442346,0
107,11202.146511012346,2,4,612.2099159544885,0,8,47.48364662804261,0
72,4268.305509655145,4,3,976.8973941104864,2,56,586.8671900682003,1
21,4466.462673789732,4,3,1756.5596115701928,1,58,815.1771894196999,0
103,2382.0994096581853,5,3,2163.3968214888555,0,6,680.9318846670365,1
122,6444.0619936802295,4,0,1403.7265743576077,1,50,241.0470230570715,1
75,2987.049606516162,3,2,267.20993375215994,2,38,580.8099500044767,0
88,8064.505693005783,2,0,1282.2758080379454,1,18,460.14534201389904,1
117,3027.2583605445334,3,2,859.0702040267847,1,1,743.5241925418685,1
100,6025.374404356891,2,3,757.6422848115916,1,8,810.2491483383958,0
104,4860.96726182132,3,2,622.1094855158171,1,49,111.53353170682772,0
152,9665.3348579279,2,1,470.6526755440876,0,12,529.3984698924188,1
131,6228.4381585941455,3,1,1311.5311770369542,0,1,229.42150363071875,0
150,9161.021957374764,2,0,1416.327014039062,1,29,559.574778035212,1
53,5325.8705023315,3,2,1376.1741567265728,2,35,83.99935379342952,1
2,4487.779098457155,4,3,626.7249646414816,1,17,481.6317520745394,0
88,4885.427691394325,2,1,776.9420672177313,1,6,585.0146125989093,1
158,2685.7723958684223,3,1,2060.6143853290214,1,57,0.0,1
38,6595.006351111616,0,2,497.8554956483816,3,22,419.5841737182538,0
130,2928.92497758954,2,2,1039.4305287536088,1,47,50.88484852488995,1
21,5337.389124553549,4,1,520.1873351192446,0,8,749.0214563236703,0
161,7565.605899391736,5,0,971.9252973973088,0,36,0.0,1
58,9750.646729330816,3,6,556.764270002669,4,21,393.9682727133685,1
22,5488.58025159497,4,2,853.3093701215384,0,5,894.1918527329472,0
89,7583.621168198097,2,3,1392.3968694567272,3,31,186.0256104973304,1
49,7225.663251142443,4,1,700.2805406130602,1,28,279.7906331138336,0
59,3852.868727537073,2,3,1326.773136690086,1,30,477.46948731931445,1
170,11323.410363272533,2,3,366.6982793815082,1,54,515.9217245066676,1
15,3271.27339136317,2,2,1288.6507912128732,2,13,0.0,1
175,5272.9838784486965,2,2,329.93895860249745,2,45,421.4461229452561,1
51,9362.359260195282,3,1,773.4614448409715,1,41,708.0907263808328,1
108,9288.37472839647,2,3,1139.444650560058,0,29,1145.3943032020245,1
55,5042.961194106984,3,1,1451.1604781862663,0,33,271.439178275998,0
64,7971.250243521884,0,5,847.4728828537593,1,41,411.1341953180941,0
131,4328.082990669333,6,3,905.4800586438488,2,54,621.9076385127302,1
51,3533.963329102826,6,3,513.3944062699618,2,10,255.45531159798296,1
135,1361.6327806446802,0,1,1287.032213349294,0,56,944.5391309597258,0
21,7171.644096437842,4,2,1656.082123088257,0,47,489.2757918998559,0
73,7487.662793805368,3,2,395.1030153093437,3,19,566.0897237707251,1
167,3296.3321133330146,5,1,667.8872376378789,2,41,660.9204179807004,1
18,5804.300101955705,1,2,1056.2421684716323,1,9,0.0,0
132,11909.365849706153,1,3,1904.5361901516844,0,48,582.4674820843635,0
89,8440.046900352092,4,1,1323.2058928794636,2,16,310.75783880304704,0
60,2295.548172263416,6,2,564.1670608544534,0,44,238.75016932701777,1
14,8004.686839290163,2,2,473.8027844471573,0,27,637.7418933243023,0
9,2309.4146562479573,3,4,1181.0185890987234,1,39,838.745279401741,0
90,100.0,1,3,688.1519844864276,1,50,499.7165768066045,0
53,4938.763570201614,4,0,479.4496317703585,0,48,960.9239119286434,1
130,9689.604378778957,3,1,344.34767148402057,0,47,429.379071180398,0
84,9192.343881310824,4,1,1534.6419370570477,1,39,0.0,1
92,6131.705507277964,1,4,620.6682897165479,1,53,150.4388086455049,0
111,3374.811760250317,4,2,0.0,0,6,957.6839281044386,1
172,6459.34905173794,3,0,371.4838079840497,2,48,1034.6591006342928,0
8,4192.519489067268,4,3,881.8106243480433,1,57,608.88417176739,0
175,3459.032924092068,2,3,1199.882129209432,0,19,314.9784786449119,1
35,8186.006606916713,2,3,1261.591716375372,1,31,408.0309379939836,0
81,3421.892660868221,1,3,1026.6811298144328,0,19,487.0603263019327,0
164,8381.709669428228,1,0,1432.4758624661122,1,32,504.2817572088478,1
50,3223.4421141085613,2,1,1578.8203039019263,1,51,667.3904531812263,0
104,11175.475864468668,2,2,1391.937520238032,2,41,602.9430678801896,1
132,100.0,2,1,1811.5370541969287,4,45,142.43249927336785,1
2,2129.692004886296,5,1,1374.8607334224455,4,59,161.6008511539893,0
134,4533.896797429032,2,4,0.0,2,3,663.0899010795536,0
54,100.0,4,3,1399.1959341773695,1,22,380.05720305934034,0
106,100.0,4,1,991.4643341958688,1,11,475.8192365791934,1
4,100.0,1,0,1183.5066115380853,1,48,505.0442090637932,0
54,4123.732369066976,3,0,1165.174402182117,0,32,337.43970853647534,1
146,4199.869970347661,2,2,1569.3364075027353,1,4,539.5916687231025,0
44,5998.998443698597,6,1,717.4800035584183,4,42,706.9343281240306,1
162,4408.9955546709725,2,1,833.8558469650419,0,53,461.1765646394206,1
14,5898.549393532548,3,3,876.3754507411411,0,12,911.5163603471505,1
95,3649.350756684793,2,0,1315.350428368388,1,29,968.8076152325518,0
48,7144.447272415044,3,2,1512.8911623369945,0,4,246.424870377352,1
15,6782.930009520566,3,1,575.3872144658812,0,48,622.607674085039,0
40,4019.922140427442,1,1,1676.0504453744702,0,48,428.20688850915855,0
82,6599.034304017171,5,2,1614.1839002937922,2,3,271.17027359808014,1
111,4428.062192153991,5,2,809.4687985141247,0,23,488.8688027050502,1
53,433.0222538206836,1,2,721.4443689046971,3,10,0.0,1
24,7713.489924147864,0,2,1551.6204376721707,1,56,733.3221080821991,1
154,2279.5518602047123,3,0,993.7698410197944,1,17,760.273231874177,1
124,7681.471865425301,4,1,452.8970233505986,1,29,568.8637069049884,0
41,5972.08031635107,5,3,886.0489406227889,0,37,789.9038171176525,0
157,4746.433072948632,2,0,207.31173419715824,0,42,290.40902684256554,1
15,100.0,3,6,620.8342751692317,0,12,0.0,0
45,9619.236672243333,1,2,1616.6862657911438,1,45,355.55242305477486,0
65,3910.658415937735,5,2,1953.76038497274,1,39,134.82282641839856,0
89,6903.690761466749,1,1,930.064335146546,2,18,503.1858338758672,0
71,4658.077629887656,1,0,937.6188301568168,1,22,932.0593915847226,1
9,4185.693993312836,4,3,1405.266446478102,2,19,588.615873596432,0
88,5578.423515190968,4,1,1692.5289425974984,1,17,422.5818293938992,1
129,5079.716850325541,1,1,538.3128044068928,1,42,833.2966077634634,1
136,4199.021629472637,3,1,649.8856088380337,1,49,1007.6277704281058,1
63,4834.056324163543,3,3,1430.7918265476417,0,42,633.1956237447396,0
139,6281.193968815131,8,2,806.8790022767686,1,5,305.73769454729484,1
81,6493.457530274884,2,3,845.0951776199771,1,15,536.9598135726538,0
136,5130.071638231789,2,2,0.0,2,58,546.9420167405533,0
163,6862.810969443317,2,2,1325.3585315288135,1,41,443.3947337847125,1
163,3727.7905866707406,3,1,889.6389077540017,0,26,886.7408741273834,1
33,11674.659142989369,2,4,1720.1332234562344,1,40,753.5141388706796,0
123,9456.765824023343,1,1,720.7353476626322,1,24,153.94674758165718,1
5,7287.328984494834,5,5,1458.8792018633687,0,43,120.97120748734454,0
41,100.0,2,4,1116.1461996660532,1,20,339.8139745805199,0
28,6818.057416564946,5,1,576.9027325304539,0,52,201.7859926990423,0
135,3990.0887514138367,1,2,807.9425515666055,0,21,359.7085218961849,1
72,2063.9578057719414,4,1,863.777946308563,1,35,499.60396254509646,0
12,3913.711849085541,7,0,841.335004268758,1,27,446.4683405595061,0
162,2396.4957982117403,3,1,1151.8365850760906,0,36,551.3752009947707,1
33,6520.4092812785175,3,0,1658.1693133503888,2,10,399.853481036248,1
48,9847.982187689682,1,2,479.303700265227,0,37,81.21481380732018,1
151,7478.086375120345,4,2,1063.0716963339898,1,47,210.08446943969977,1
62,11909.365849706153,7,2,751.8571892431377,1,34,183.6452602693519,0
37,339.16271127378604,2,2,728.6131242354995,0,44,261.70965572768307,0
99,3481.89588659268,8,3,1409.5165509604208,1,26,621.7815600727841,1
172,2170.924422973069,2,4,1529.16896759735,0,11,380.68606536713935,1
104,8688.104943079576,5,4,555.8304916953889,2,53,221.0945561758707,1
35,4338.348929064386,0,1,1093.1579242519272,0,20,473.0253155183829,1
101,5568.548589431762,6,2,764.3155591779233,2,52,587.2224117349165,0
175,6901.056595919178,4,2,664.1459909954435,2,57,577.0785210271567,1
