months_to_maturity,total_relationship_value,number_of_products,satisfaction_score,number_of_complaints,months_since_last_interaction,age,tenure_months,monthly_average_balance,desertion_flag
7,28656.134177488857,3,7.197706902645606,2,3,37,25,5882.280017479472,0
20,38466.29363068725,3,3.781163494719972,0,4,51,28,9003.172265982197,0
15,37669.25190490481,3,8.829905517816503,1,0,34,38,5531.367832150872,0
11,80648.68952219117,2,8.331459677024228,2,2,28,33,18524.35579734719,0
8,38637.2049019072,5,6.6931379799813975,1,2,39,23,13988.880622544362,0
21,112479.80966329393,2,6.419903506981829,0,3,53,28,7597.007915295803,0
7,62925.87257045112,1,6.778858354142439,1,1,39,34,7861.438618893718,0
19,11729.520200128049,4,10.0,1,1,41,33,6219.956059030639,0
23,46143.611202441294,1,6.18878446289391,0,1,31,31,4570.613272536076,0
11,30449.74633530753,3,4.608085719268495,0,0,38,23,8717.663946246314,0
11,1000.0,4,5.436446791140197,0,1,57,26,14429.147859735702,0
21,97984.12820341368,4,8.978792730279903,0,2,25,37,9185.96368368974,0
4,71094.27626660012,4,5.078455010683195,1,3,32,25,5517.00467732161,0
8,65996.21953697938,2,9.397170360350795,1,1,64,24,5465.491606823233,0
3,54962.109808991125,3,6.596941299993704,0,2,41,26,18625.98700323409,0
22,8539.472939226871,3,3.4128978472394627,0,3,18,42,14616.582197773734,0
21,35491.4858133369,1,8.497361726549137,0,3,71,29,6288.000211462279,0
2,75253.42324352037,1,6.45728995733985,0,1,24,31,10831.987653632836,0
12,18463.39910652492,3,7.743111868664149,0,0,18,32,11770.422892500315,0
6,1000.0,3,5.753560598481791,0,1,30,31,12877.80286564124,0
2,43186.81976657222,4,9.461865161450802,1,3,23,37,2228.3408032484467,0
21,45747.27337917384,4,7.891321882478715,0,1,50,32,20525.089092010032,0
1,54066.90249244127,2,10.0,0,1,60,25,13660.550122345732,0
12,71855.5593054361,3,8.421083475807531,0,2,39,32,3074.8027584035062,0
22,69128.17436693626,2,6.534455227768912,0,1,46,40,11989.62723523845,0
12,57763.094157317646,2,5.270996110985789,0,5,41,37,2540.728454016752,0
17,85865.94164260128,1,4.165514217329798,0,4,59,22,8726.75268981525,0
10,4430.906575600558,4,6.742481473671461,0,1,35,29,18604.45805106832,0
16,65137.454434321706,3,6.820301218507098,0,0,18,29,4858.440834937391,0
15,68796.15090010827,3,10.0,0,3,37,31,3585.16067091301,0
15,12813.131417592813,1,6.177596040261276,0,4,18,30,8920.426051342418,0
19,4913.881739528319,4,9.029395870087324,1,5,29,24,11842.625230136522,0
12,27621.73620573196,3,6.7865048174331575,0,3,28,27,10213.527448955663,0
23,30153.756724541243,4,10.0,0,6,20,29,21813.237403391227,0
20,72602.58390507293,3,3.868025640040067,1,1,55,34,13232.630226778989,0
3,31563.836489267156,6,9.704097228517876,1,4,35,34,8496.398500107862,0
5,24309.54445156388,4,6.001989564167829,0,1,47,24,10998.240290853908,0
19,31650.987899163225,1,8.783128713803757,1,0,36,18,16323.267415979022,0
7,83558.97002462635,4,10.0,0,1,43,24,18494.08157630956,0
21,50391.30123130856,3,6.297577856848529,0,2,24,27,5533.819687405847,0
9,44622.46923929264,5,4.807481451475292,1,5,39,33,10143.967011318327,0
7,46699.83503896846,3,4.6137848036324645,0,5,62,32,14998.91351332227,0
18,88761.81002979568,5,5.292094063369179,0,3,21,35,8031.963845279359,0
4,27524.848201902747,5,2.2874808575098986,0,5,67,39,6930.78118744417,0
14,89465.24872820312,3,6.544821944610969,0,4,60,24,13160.88998775542,0
18,56314.88896764511,3,8.299566638299902,1,3,35,34,4455.87900375969,0
9,45187.41854073957,4,7.491972924369652,1,2,49,24,17513.728085710645,0
21,120476.40845107357,3,6.243904142639281,3,4,44,31,15175.161914442237,0
2,18330.81530604211,3,5.226269728736197,0,1,22,23,9568.462844059412,0
20,39389.427212989816,4,5.858102205361625,0,3,43,31,8803.55618784985,0
15,13027.062825079993,4,7.567421374763992,0,2,38,28,14483.975812104203,0
7,78573.85911608508,3,8.650510339483208,0,3,31,33,9641.901684726598,0
12,100675.66800955035,3,4.0093148208508,1,1,52,29,14590.785282550323,0
8,100097.68344213915,3,7.314752732140796,0,3,28,34,17262.544127463625,0
15,86718.46259438014,5,7.530125086057986,2,0,31,29,8026.605802950517,0
3,44071.38596612103,5,5.113044238226872,0,6,20,31,6517.487726984636,0
14,39042.77067530461,4,8.093876201265454,1,2,33,32,1018.5505870548222,0
17,1000.0,3,8.866911497371039,1,2,63,24,7261.926479858634,0
4,111076.20605545376,5,5.859843729452641,0,1,28,25,13996.69124162304,0
18,64069.34234445403,3,5.2668109257508124,0,1,53,22,9406.00544162748,0
8,35241.29285391551,3,10.0,1,4,37,25,12143.691858906524,0
4,89841.70666960903,7,8.60095961670132,1,2,41,37,21813.237403391227,0
2,20817.06449719997,2,7.359557954757368,0,1,18,23,17637.964161629963,0
6,62198.66102668022,1,5.651488236673022,0,1,53,32,11054.302104726892,0
22,44821.12597127496,2,5.4544949377901,0,6,32,24,4003.649644992962,0
10,69160.31419640903,2,8.146216278870753,1,1,41,39,17241.13991200529,0
4,48092.79382441635,3,5.354949610295147,1,1,45,29,6543.833688583748,0
22,6472.163266663272,1,5.268448372375941,0,1,49,26,10725.267299057505,0
18,52267.291180101136,6,6.7301143714294,2,0,33,31,5822.598038821581,0
12,81465.92425626086,5,8.276548875720568,0,1,18,19,14057.4526060058,0
2,49123.507824380446,4,10.0,0,2,61,22,6701.679627873826,0
10,73253.45364767258,3,7.480820826989333,0,3,62,31,9336.504326970318,0
4,18634.115429778405,2,5.356848118158758,0,3,24,25,7935.349645836741,0
14,49212.17620190443,3,6.464537253671854,0,0,46,24,13787.284405397688,0
16,31264.68634734268,4,9.608248772655996,0,2,37,31,11523.168956842106,0
15,72409.42520314129,5,9.406302446116928,0,2,61,31,10146.85754483022,0
8,50944.746867859874,2,9.494149503217251,0,3,35,29,10458.864732961529,0
14,70702.21029009837,1,9.02735341039068,0,2,28,30,9616.453621697396,0
23,82631.31278473599,2,10.0,0,0,23,28,7386.800495037529,0
8,70748.55725364166,1,7.414844726083258,1,3,41,36,8362.903682944769,0
21,58193.55302880933,3,8.503391665957901,1,2,39,31,12407.829612101694,0
16,20053.63224465784,3,5.386809122287836,0,2,70,34,7558.393513596662,0
13,49916.416679992966,1,7.465936318115397,0,3,18,23,2678.683432539681,0
18,34007.287939525006,1,7.545240005710695,1,2,24,29,6146.1893138225205,0
15,39678.08129887321,1,8.577306782972132,0,1,21,21,9785.58547716767,0
21,38763.97547749247,1,5.74993483333428,0,5,18,41,8644.464197782792,0
13,20602.232756532663,3,3.8696468408456015,0,2,24,25,20071.71735009558,0
9,1000.0,4,5.838442122221768,1,4,53,31,9171.648334915282,0
15,29955.708550166997,3,9.12362406290328,0,0,18,27,13108.9354540458,0
13,55801.38355772477,3,6.575529390272035,0,2,38,25,7706.008513541257,0
1,9554.688637175292,4,7.938814148673697,0,3,63,34,20260.276838631853,0
7,50470.46709414873,3,5.802877141584174,1,1,38,25,8774.342845341738,0
9,107008.05272932896,4,9.081379279656533,0,3,29,29,5829.879931418795,0
1,80691.69665756718,4,6.788446092812855,0,2,35,43,9682.853880751232,0
12,99306.24527361587,4,6.760378712279994,1,2,34,36,19467.62295564796,0
8,61733.83630798179,3,9.655057468068064,1,1,50,25,7884.137991513833,0
11,85025.29468959337,1,10.0,0,0,32,27,12209.631822806909,0
19,28281.05808596638,5,9.694632147622832,1,4,28,26,15157.96660532264,0
17,30669.791989340472,2,6.344190275459319,0,1,31,31,4345.685143049881,0
8,1000.0,3,5.8103884654202345,0,4,74,31,12845.562979475815,0
3,85584.36422126897,4,5.176531370209546,0,3,43,28,11574.656946812132,0
3,96209.71939459658,6,4.022274102030701,0,1,66,29,7378.734959326533,0
1,33404.6826395819,2,5.134283308782089,1,2,67,22,18208.71077091413,0
5,42381.44880808295,3,5.302602749462679,0,2,42,34,12317.156457297364,0
10,27384.136589271155,3,4.476328800160083,0,1,44,29,8952.82946941553,0
7,61479.60654432475,4,3.965612130697153,0,3,40,25,10177.988948687003,0
9,83747.97635909723,4,4.392715614684043,0,3,54,21,14102.040447243697,0
7,1000.0,2,6.897965912567476,0,2,49,36,17527.651339331733,0
9,62283.15591926757,5,7.881310293301796,1,2,48,30,13452.550650030931,0
8,41699.84684842564,3,7.704565640988711,2,2,38,25,7343.408603199946,0
12,53401.83175900068,4,5.956683040237413,0,2,18,30,8833.145408055476,0
2,63769.82005022873,2,6.302510339062142,1,1,29,33,9353.102268042065,0
1,44353.92683681536,4,7.734548185864547,1,3,37,23,4586.719792302375,0
16,46892.39439782658,2,7.384916299060588,1,3,48,31,16010.521211114536,0
23,43583.74497336083,2,8.12353339251157,2,1,52,42,8196.640247216112,0
23,79109.48605364843,2,5.075235230691684,1,3,18,33,8123.467418384923,0
5,62562.798803824895,5,10.0,0,2,33,41,9276.435924935427,0
3,56617.50613212082,3,8.262848907246623,0,1,53,26,1081.035785160093,0
12,11871.448367231518,1,8.485590011060042,0,4,34,28,20027.818331346243,0
8,38642.607703605376,2,4.878187402403548,1,5,45,38,8848.15911196983,0
22,76960.07481017523,5,4.8318634790622665,1,2,37,35,16816.15201400609,0
3,51130.89719371769,2,5.60532209822287,3,2,20,25,10263.731982109108,1
1,69785.94408767414,2,8.473952266936475,0,3,38,31,10726.610856369884,0
3,102995.354009829,4,4.685743572412109,2,2,18,31,15238.004635798115,0
5,81158.1820762645,1,7.893008683984762,2,1,59,30,4685.90278149391,0
15,52794.75013099227,2,9.917221681440182,2,4,36,26,12784.024173847312,0
14,34670.324894128185,2,5.585963444386969,2,1,45,21,6439.423837853194,0
3,1000.0,3,5.127036094152547,1,1,18,34,10270.719520969393,0
1,44948.452325814425,3,5.537828002072297,1,2,33,28,13850.71700015613,0
5,40219.62512549453,2,6.671747868151553,0,1,30,35,9841.010832569164,0
23,61710.98583186127,3,8.900409231740847,0,4,34,35,2289.871824960599,0
14,45382.84319075937,2,9.023156135292046,1,1,29,35,4787.1500140777935,0
7,40388.44821689617,3,8.597452304253789,2,2,51,24,689.4790427478656,0
9,1000.0,3,3.112453687202653,1,0,40,29,13447.03803599857,1
15,21800.965125498005,5,6.625157473406943,1,3,41,27,19139.62129101265,0
15,64299.531224016726,2,5.235535727706479,1,1,39,30,12029.031043182811,0
10,101477.22893398083,5,7.808618688466317,0,1,62,27,7515.478936018252,0
13,47074.2384876313,4,8.800081630029629,0,1,18,27,11158.233522450706,0
19,59834.3322072237,4,6.001717216782948,0,1,41,28,10278.887004272436,0
7,78574.34470858416,2,10.0,0,3,46,28,12240.476106526943,0
17,25673.181913992503,4,5.187775640478421,0,0,47,21,4787.60074145888,0
20,61004.42129856327,3,8.063978030190365,3,0,18,29,10214.497423988309,0
4,27785.296810035245,3,10.0,0,3,25,31,8125.281265576868,0
5,75944.73315473035,2,8.836157542228872,0,2,41,27,10231.168411954592,0
23,54542.09143855198,2,8.188967599919454,0,3,50,20,10485.443047690063,0
7,58953.55441944319,1,6.659170599549528,1,1,18,30,17335.309266907556,0
13,26522.04207744233,4,8.222952465696958,0,3,31,27,9039.265595336456,0
15,71210.97078832355,4,5.895833827091661,1,1,52,26,19061.796574066237,0
11,112541.38763693048,4,9.255963068988486,0,1,54,29,11764.799059605595,0
4,19762.649137153818,2,5.551690762093132,0,2,51,41,18254.70007542841,0
13,39807.22977057428,2,6.503181979761717,0,4,43,31,0.0,0
7,56948.22422504275,2,5.321171362012473,1,2,51,36,12891.66058797842,0
19,73592.1863598745,7,6.313035968066279,0,3,54,23,14809.862252841123,0
22,33213.61144131594,4,6.084073000060547,0,2,55,26,6125.006258379903,0
2,1000.0,2,2.967209825910513,0,3,63,29,12779.48758458635,0
10,90775.68482492075,5,7.066763599492501,0,2,41,39,11458.22740982834,0
13,72815.18358752428,2,6.031777264603062,0,2,59,36,16353.94762110552,0
21,1000.0,2,4.380987611533392,0,2,37,34,3248.066052448794,0
6,31772.93624661332,3,5.630956359140532,0,4,38,22,7355.5793511423,0
12,97045.4728858198,1,7.723242553248481,0,1,65,33,11922.786971919157,0
12,93433.892553736,3,3.4521046353704645,0,2,73,36,10440.472964127594,0
20,78159.20068036835,1,6.678636900406008,0,4,43,31,11363.278038767525,0
11,44716.62698120412,2,9.291154048473894,0,5,49,26,10205.642941443844,0
23,52489.6225643753,4,6.135146017758424,0,4,18,41,8151.469695299415,0
7,46072.225846216206,4,9.92484116791134,1,1,35,27,6923.850119307805,0
1,83847.19349806513,3,9.151631525307137,0,1,49,30,6220.270546109662,0
1,23724.727805146696,2,7.72806367375291,1,4,38,30,9320.90157809915,0
20,25826.01035347386,1,6.951709105697608,1,4,40,24,6455.1104473800415,0
13,80308.23760508047,3,7.013460700683861,1,0,42,27,13635.829899107155,0
9,48669.15633465315,2,7.979857214133638,0,0,53,43,7456.545930779293,0
3,91354.02066361424,3,10.0,0,2,18,24,5298.388364070981,0
7,29854.63379058363,5,8.00174148722701,2,1,65,20,9371.30786988033,0
6,48356.64918983525,2,9.976942435711829,1,3,54,24,12857.702136192922,0
8,22327.6104546814,5,4.681850148461916,0,1,43,29,10381.401802914175,0
